plan_id,plan_name,plan_type,annual_limit,area_of_coverage,provider_network,copayment_summary,reimbursement_inside_uae,reimbursement_outside_uae,pre_existing_conditions_note,maternity_note,declaration_requirements,deductible,outpatient_coverage,inpatient_coverage,emergency_coverage,pharmacy_coverage,telemedicine,wellness_benefits,notes,status
REMEDY_02,REMEDY 02,Medical,AED 150000,UAE and Indian Sub-continent and South East Asia excluding Hong Kong and Singapore for elective and emergency treatment,HN Basic Plus with restricted outpatient clinic access and selected direct-access hospitals,"OP: 15% per visit, IP: 20% per admission, Maternity: 10%",80% reimbursement for eligible expenses,60% reimbursement for eligible expenses,Coverage for pre-existing conditions after 6 months,"Maternity covered up to AED 10,000",Declaration of pre-existing conditions required at enrollment,"AED 1,000 per year","General OP, Specialist OP, Diagnostics",All IP incl. surgery,Covered in UAE and abroad,"Covered up to AED 5,000",Not covered,Annual checkup included,"Curated from Remedy plan extracts. Deferred: reimbursement final calculation logic, alternative medicine status, optical insured benefit, maternity add-on/commercial, BASMAH eligibility, hepatitis program, advanced premium/pricing, any contradictory rule.",Extracted
REMEDY_03,NGI Healthnet – Remedy 03,Medical,AED 150000,UAE and Indian Sub-continent and South East Asia excluding Hong Kong and Singapore for elective and emergency treatment; elective IP treatment outside UAE subject to prior approval,"HN Basic Plus with restricted outpatient clinic access and selected direct-access hospitals (Aster Hospitals Qusais/Mankhool/Jebel Ali, Burjeel Specialty Hospital Sharjah, International Modern Hospital DXB, Ajman Specialty Hospital, Al Saha wa Al Shifaa Hospital Sharjah)","OP: 10% per visit, IP: 20% per admission (max AED 500/incident, AED 1000/year), Maternity: 10%",Emergency medical treatment within the UAE on reimbursement basis,100% reimbursement based on UAE UCR/designated network rates or actual incurred cost whichever is lower,Chronic and pre-existing conditions excluded for first 6 months of first scheme membership in UAE; in all other cases covered from date of enrolment; undeclared pre-existing/chronic conditions not covered,"Maternity covered up to AED 10,000",Group declaration: groups size 21-50 lives; Individual health declaration: 20 lives and below at inception and upon member addition; above 20 lives inception members age 65+ and if requested; above 20 lives additions members age 65+ category change late additions,"AED 1,000 per year","General OP, Specialist OP, Diagnostics",All IP incl. surgery,Covered in UAE and abroad,"Covered up to AED 5,000; DHA formulary restriction applies",Not covered as standalone benefit; available under ISA Assist travel assistance only,Annual checkup at Healthnet referred clinics with AED 150 deductible,Curated from Remedy 03 extract. Direct-access hospitals listed. Reimbursement: general reimbursement disallowed UNLESS explicit benefit/rule row grants reimbursement.,Extracted
REMEDY_04,NGI Healthnet – Remedy 04,Medical,AED 150000,UAE and Indian Sub-continent and South East Asia excluding Hong Kong and Singapore for elective and emergency treatment; elective IP treatment outside UAE subject to prior approval,"HN Basic Plus with restricted outpatient clinic access and selected direct-access hospitals (Aster Hospitals Qusais/Mankhool/Jebel Ali, Burjeel Specialty Hospital Sharjah, International Modern Hospital DXB, Ajman Specialty Hospital, Al Saha wa Al Shifaa Hospital Sharjah)","OP: 20% up to AED 30 per visit, IP: 20% per admission (max AED 500/incident, AED 1000/year), Maternity: 10%",Emergency medical treatment within the UAE on reimbursement basis,100% reimbursement based on UAE UCR/designated network rates or actual incurred cost whichever is lower,Chronic and pre-existing conditions excluded for first 6 months of first scheme membership in UAE; in all other cases covered from date of enrolment; undeclared pre-existing/chronic conditions not covered,"Maternity covered up to AED 10,000",Group declaration: groups size 21-50 lives; Individual health declaration: 20 lives and below at inception and upon member addition; above 20 lives inception members age 65+ and if requested; above 20 lives additions members age 65+ category change late additions,"AED 1,000 per year","General OP, Specialist OP, Diagnostics",All IP incl. surgery,Covered in UAE and abroad,"Covered up to AED 7,500; DHA formulary restriction applies",Not covered as standalone benefit; available under ISA Assist travel assistance only,Annual checkup at Healthnet referred clinics with AED 150 deductible,Curated from Remedy 04 extract. Direct-access hospitals listed. Reimbursement: general reimbursement disallowed UNLESS explicit benefit/rule row grants reimbursement.,Extracted
REMEDY_05,NGI Healthnet – Remedy 05,Medical,AED 150000,UAE and Indian Sub-continent and South East Asia excluding Hong Kong and Singapore for elective and emergency treatment; elective IP treatment outside UAE subject to prior approval,"HN Basic Plus (OP Restricted to Clinics) with Direct Access to Specialist and selected direct-access hospitals (Aster Hospitals Qusais/Mankhool/Jebel Ali, Burjeel Specialty Hospital Sharjah, International Modern Hospital DXB, Ajman Specialty Hospital, Al Saha wa Al Shifaa Hospital Sharjah)","OP: 20% up to AED 30 per visit, IP: 20% per admission (max AED 500/incident, AED 1000/year), Maternity: 10%",Emergency medical treatment within the UAE on reimbursement basis,100% reimbursement based on UAE UCR/designated network rates or actual incurred cost whichever is lower,Chronic and pre-existing conditions excluded for first 6 months of first scheme membership in UAE; in all other cases covered from date of enrolment; undeclared pre-existing/chronic conditions not covered,"Maternity covered up to AED 10,000",Group declaration: groups size 21-50 lives; Individual health declaration: 20 lives and below at inception and upon member addition; above 20 lives inception members age 65+ and if requested; above 20 lives additions members age 65+ category change late additions,"AED 1,000 per year","General OP, Specialist OP, Diagnostics",All IP incl. surgery,Covered in UAE and abroad,"Covered up to AED 7,500; DHA formulary restriction applies",Not covered as standalone benefit; available under ISA Assist travel assistance only,Annual checkup at Healthnet referred clinics with AED 150 deductible,Curated from Remedy 05 extract. Direct Access to Specialist. Direct-access hospitals listed. Reimbursement: general reimbursement disallowed UNLESS explicit benefit/rule row grants reimbursement.,Extracted
REMEDY_06,NGI Healthnet – Remedy 06,Medical,AED 150000,UAE and Indian Sub-continent and South East Asia excluding Hong Kong and Singapore for elective and emergency treatment; elective IP treatment outside UAE subject to prior approval,"HN Basic Plus (OP Restricted to Clinics) with Direct Access to Specialist and selected direct-access hospitals (Aster Hospitals Qusais/Mankhool/Jebel Ali, Burjeel Specialty Hospital Sharjah, International Modern Hospital DXB, Ajman Specialty Hospital, Al Saha wa Al Shifaa Hospital Sharjah)","OP: 20% up to AED 30 per visit, IP: 20% per admission (max AED 500/incident, AED 1000/year), Maternity: 10%",Emergency medical treatment within the UAE on reimbursement basis,100% reimbursement based on UAE UCR/designated network rates or actual incurred cost whichever is lower,Chronic and pre-existing conditions excluded for first 6 months of first scheme membership in UAE; in all other cases covered from date of enrolment; undeclared pre-existing/chronic conditions not covered,"Maternity covered up to AED 10,000",Group declaration: groups size 21-50 lives; Individual health declaration: 20 lives and below at inception and upon member addition; above 20 lives inception members age 65+ and if requested; above 20 lives additions members age 65+ category change late additions,"AED 1,000 per year","General OP, Specialist OP, Diagnostics",All IP incl. surgery,Covered in UAE and abroad,"Covered up to AED 10,000; DHA formulary restriction applies",Not covered as standalone benefit; available under ISA Assist travel assistance only,Annual checkup at Healthnet referred clinics with AED 150 deductible,Curated from Remedy 06 extract. Direct Access to Specialist. Direct-access hospitals listed. Reimbursement: general reimbursement disallowed UNLESS explicit benefit/rule row grants reimbursement.,Extracted
HN_CLASSIC_2R,HN Classic Plan-2R,Medical,"AED 250,000",Worldwide Excluding USA and Canada,HN Standard Plus,,Claims Settlement Basis (After application of Copayments): Direct Billing Available. Reimbursement is also possible but will be settled at 80% of the usual & customary rates of the selected Network.,,,"Covered with 10% co-insurance up payable by the insured) Normal Delivery: Aggregate Limit Per Year: AED.12,500 Medically necessary Cesarean Section, Complications & Medically Necessary Termination: Aggregate Limit Per Year: AED. 15,000",,,"Examination, diagnostic and treatment by authorized general practitioners, specialist, and consultants. (Will not be applicable for follow-up visits within 7 days from the same treatment and with the : 20% up to AED 50/-; Laboratory tests carried out in authorized facility: Hospital : Covered up to ABL with 20% Co Insurance on all OP Services - Clinics : Covered up to ABL with Nil Co Insurance; Radiology diagnostic services carried out in authorized facility. (Pre- approval required for Elective","Room & Board: Private; Tests, diagnosis, treatments and surgeries for Non-urgent cases Pre-approval is required for this benefit.: Covered; Cash Indemnity for In-Patient hospitalizations that are not submitted to the Insurance Company: Covered on Reimbursement up to AED 250 per night and a maximum of 10 nights. The Cash Indemnity claim must be submitted within 15 days after discharge from the hospital with a proof of hospitalization including a discharge summary.; Parent Accommodation for child ",,,,,Extracted from enhanced TOB workbook. Source confidence: high.,Extracted
HN_CLASSIC_2,HN Classic Plan-2,Medical,"AED 250,000",Worldwide Excluding USA and Canada,HN Standard Plus,,Claims Settlement Basis (After application of Copayments): Direct Billing Available. Reimbursement is also possible but will be settled at 80% of the usual & customary rates of the selected Network.,,,"Covered with Nil co-insurance up payable by the insured) Normal Delivery: Aggregate Limit Per Year: AED.12,500 Medically necessary Cesarean Section, Complications & Medically Necessary Termination: Aggregate Limit Per Year: AED. 15,000/- (Where any condition develops which becomes life threatening to either the mother or the new born, the medically necessary expenses will be covered up to AED 150,000/-)",,,"Examination, diagnostic and treatment by authorized general practitioners, specialist, and consultants. (Will not be applicable for follow-up visits within 7 days from the same treatment and with the : 20% up to AED 50/-; Laboratory tests carried out in authorized facility: 100% Covered; Radiology diagnostic services carried out in authorized facility. (Pre- approval required for Elective MRI, CT scans, Endoscopies): 100% Covered; Physiotherapy Pre-approval is required for this benefit (as per p","Room & Board: Private; Tests, diagnosis, treatments and surgeries for Non-urgent cases Pre-approval is required for this benefit.: Covered; Cash Indemnity for In-Patient hospitalizations that are not submitted to the Insurance Company: Covered on Reimbursement up to AED 250 per night and a maximum of 10 nights. The Cash Indemnity claim must be submitted within 15 days after discharge from the hospital with a proof of hospitalization including a discharge summary.; Parent Accommodation for child ",,,,,Extracted from enhanced TOB workbook. Source confidence: high.,Extracted
HN_CLASSIC_3,HN Classic Plan-3,Medical,"AED 250,000",UAE+Home country,HN Standard,,Claims Settlement Basis (After application of Copayments): Direct Billing Available. Reimbursement is also possible but will be settled at 80% of the usual & customary rates of the selected Network.,,,"Covered with Nil co-insurance up payable by the insured) Normal Delivery: Aggregate Limit Per Year: AED.12,500 Medically necessary Cesarean Section, Complications & Medically Necessary Termination: Aggregate Limit Per Year: AED. 15,000 /- (Where any condition develops which becomes life threatening to either the mother or the new born, the medically necessary expenses will be covered up to AED 150,000/-)",,,"Examination, diagnostic and treatment by authorized general practitioners, specialist, and consultants. (Will not be applicable for follow-up visits within 7 days from the same treatment and with the : 20% up to AED 50/-; Laboratory tests carried out in authorized facility: 100% Covered; Radiology diagnostic services carried out in authorized facility. (Pre- approval required for Elective MRI, CT scans, Endoscopies): 100% Covered; Physiotherapy Pre-approval is required for this benefit (as per p","Room & Board: Private; Tests, diagnosis, treatments and surgeries for Non-urgent cases Pre-approval is required for this benefit.: Covered; Cash Indemnity for In-Patient hospitalizations that are not submitted to the Insurance Company: Covered on Reimbursement up to AED 250 per night and a maximum of 10 nights. The Cash Indemnity claim must be submitted within 15 days after discharge from the hospital with a proof of hospitalization including a discharge summary.; Parent Accommodation for child ",,,,,Extracted from enhanced TOB workbook. Source confidence: high.,Extracted
HN_CLASSIC_4,HN Classic Plan-4,Medical,"AED 150,000",UAE+Home country,HN Basic Plus,,Claims Settlement Basis (After application of Copayments): Direct Billing Available. Reimbursement is also possible but will be settled at 80% of the usual & customary rates of the selected Network.,,,"Covered with Nil co-insurance up payable by the insured) Normal Delivery: Aggregate Limit Per Year: AED.10,000 Medically necessary Cesarean Section, Complications & Medically Necessary Termination: Aggregate Limit Per Year: AED. 10,000",,,"Examination, diagnostic and treatment by authorized general practitioners, specialist, and consultants. (Will not be applicable for follow-up visits within 7 days from the same treatment and with the : 20% up to AED 50/-; Laboratory tests carried out in authorized facility: 100% Covered; Radiology diagnostic services carried out in authorized facility. (Pre- approval required for Elective MRI, CT scans, Endoscopies): 100% Covered; Physiotherapy Pre-approval is required for this benefit (as per p","Room & Board: Private; Tests, diagnosis, treatments and surgeries for Non-urgent cases Pre-approval is required for this benefit.: Covered; Cash Indemnity for In-Patient hospitalizations that are not submitted to the Insurance Company: Covered on Reimbursement up to AED 250 per night and a maximum of 10 nights. The Cash Indemnity claim must be submitted within 15 days after discharge from the hospital with a proof of hospitalization including a discharge summary.; Parent Accommodation for child ",,,,,Extracted from enhanced TOB workbook. Source confidence: high.,Extracted
HN_CLASSIC_1R,HN Classic Plan-1R,Medical,"AED 300,000",Worldwide Excluding USA and Canada,HN Advantage,,Claims Settlement Basis (After application of Copayments): Direct Billing Available. Reimbursement is also possible but will be settled at 80% of the usual & customary rates of the selected Network.,,,"Covered with 10% co-insurance up payable by the insured) Normal Delivery: Aggregate Limit Per Year: AED.15,000 Medically necessary Cesarean Section, Complications & Medically Necessary Termination: Aggregate Limit Per Year: AED. 15,000",,,"Examination, diagnostic and treatment by authorized general practitioners, specialist, and consultants. (Will not be applicable for follow-up visits within 7 days from the same treatment and with the : 20% up to AED 50/-; Laboratory tests carried out in authorized facility: Hospital : Covered up to ABL with 20% Co Insurance on all OP Services -Clinics : Covered up to ABL with Nil Co Insurance; Radiology diagnostic services carried out in authorized facility. (Pre- approval required for Elective ","Room & Board: Private; Tests, diagnosis, treatments and surgeries for Non-urgent cases Pre-approval is required for this benefit.: Covered; Cash Indemnity for In-Patient hospitalizations that are not submitted to the Insurance Company: Covered on Reimbursement up to AED 300 per night and a maximum of 10 nights. The Cash Indemnity claim must be submitted within 15 days after discharge from the hospital with a proof of hospitalization including a discharge summary.; Parent Accommodation for child ",,,,,Extracted from enhanced TOB workbook. Source confidence: high.,Extracted
